HotelName,Address
Riverstone Hotel,5 Nile Towers Drive Cairo
Jasmine Court Hotel,42 Heliopolis Avenue Cairo
Coral Sands Resort,18 Red Sea Promenade Sharm El Sheikh
Downtown Central Inn,10 Kasr El Nil Street Cairo
Garden Arc Hotel,29 Zamalek Island Road Cairo
Atlas Peak Lodge,16 Mountain View Road Saint Catherine
Lighthouse Bay Hotel,70 Harbor Front Alexandria
Silicon Valley Inn,2 Innovation Park Road New Cairo
Oasis Crown Hotel,25 Fayoum Desert Link Giza
Silver Palm Suites,13 Smart Village Road 6th October
